year	project	student	mentors
2014	animint	Carson Sievert	Toby Dylan Hocking, Susan VanderPlas
2014	pbdPROF: Profiling Tools for High Performance Computing with R	Christian Heckendorf	Wei-Chen Chen, Drew Schmidt
2014	Generalized Linear Mixed Models via Monte Carlo Likelihood Approximation	Christina Knudson	Charlie Geyer, Galin Jones
2014	Kernel Density Estimation and Nonparametric Discriminant Analysis for FD	dapr12	Virgilio Gómez-Rubio, Peter Foster
2014	Improving the R-interactive-Graphics-via-HTml (RIGHT) Package	Jong Hyun Bae	Junghoon
2014	rOptManifold: An R Package for Optimization over Matrix Manifolds	Kejun He	Jianhua, Yihui Xie
2014	Tools for composite index analysis	Keshav Pratap	Valentin
2014	PhyloVS: phylogeny-constrained regularization and variable selection	lichenbiostat86	Jun Chen
2014	Spot volatility estimation: Methods and applications	Maarten Schermer	Jonathan Cornelissen, Kris Boudt, Daniele Signori
2014	Tools for pre and post processing of data for Ecological niche models	Narayani Barve	RobGur, Jorge Soberón
2014	Extending mzR	Qiang Kou	Steffen Neumann, Claudia Beleites, Laurent
2014	Turning R objects into Pandoc's markdown	Roman Tsegelskyi	Gergely Daróczi
2014	PortfolioAnalytics_Ross_Bennett	Ross Bennett	Doug Martin, Brian G. Peterson, Peter Carl
2014	Proposal_FactorAnalytics_Sangeetha_Srinivasan	Sangeetha Srinivasan	Eric Zivot, Doug Martin, Guy Yollin, Peter Carl
2014	bdvis: Biodiversity data visualizations	Vijay Barve	Virgilio Gómez-Rubio, Jorge Soberón
2014	Dimension Reduction Methods for Multivariate Time Series	wbnicholson	jbien, David S. Matteson
2014	GenPCA: A Generalized PCA Toolkit for High-dimensional Data Analysis in R	xingguo	tourzhao
2013	R Interactive Graphics via HTml	Chung Ha SUNG	Jae W. Lee, Junghoon Lee
2013	Implement/Port Spectral Unmixing Methods to R	Conor McManus	Claudia Beleites, Simon Fuller, Bryan Hanson
2013	Improving rapport and pander packages	Dániel Nagy	Gergely Daróczi, Aleksandar Blagotić
2013	Improvements to data construction, subsetting, and manipulation for time series data	EvilTosha	Michael Weylandt, Joshua Ulrich, Peter Carl, Brian G. Peterson, Paul Teetor
2013	Profiling Tools for Parallel Computing with R	Gaurav Sehrawat	ostrouchovg, Drew Schmidt, Wei-Chen Chen
